x,y,frame
0,0,1
0,-1,2
1,0,3
0,-2,4
1,-1,5
0,1,6
2,0,7
2,-1,8
1,1,9
1,-2,10
-1,-1,11
2,1,12
2,2,13
-1,1,14
2,3,15
-1,0,16
3,-1,17
-1,2,18
2,-2,19
3,0,20
1,2,21
4,0,22
0,2,23
0,3,24
-2,1,25
-2,2,26
-2,0,27
3,-2,28
3,2,29
3,-3,30
3,3,31
-3,1,32
1,3,33
3,1,34
2,-3,35
-2,-1,36
4,-1,37
-1,3,38
-3,2,39
-1,-2,40
-2,-2,41
-3,0,42
0,-3,43
1,-3,44
5,-1,45
-3,3,46
4,1,47
5,0,48
4,2,49
4,-2,50
2,4,51
-2,-3,52
-3,-1,53
-3,4,54
-3,-2,55
4,3,56
4,-3,57
5,-3,58
-2,3,59
-4,0,60
1,-4,61
6,-1,62
3,4,63
5,2,64
-1,4,65
-2,4,66
2,-4,67
0,4,68
0,-4,69
-4,1,70
-3,-3,71
6,2,72
5,-2,73
1,4,74
7,2,75
4,4,76
6,-2,77
-2,5,78
0,-5,79
3,-4,80
-4,-1,81
5,3,82
3,-5,83
1,-5,84
-1,-5,85
2,-5,86
0,5,87
-1,-4,88
7,1,89
-5,-1,90
1,-6,91
5,4,92
7,-1,93
6,3,94
3,-6,95
2,-6,96
1,5,97
-1,-3,98
1,6,99
-2,-4,100
4,-5,101
4,-6,102
0,-6,103
0,-7,104
-4,2,105
2,6,106
3,-7,107
-3,5,108
3,6,109
1,7,110
-3,-4,111
5,1,112
4,-4,113
8,2,114
3,5,115
2,5,116
7,3,117
-4,3,118
-4,-3,119
6,1,120
-2,-5,121
0,6,122
5,-4,123
8,-1,124
4,-7,125
4,5,126
2,7,127
-2,6,128
0,7,129
6,0,130
3,-8,131
6,-3,132
5,-5,133
-1,6,134
7,0,135
-5,3,136
5,5,137
-1,-6,138
-5,0,139
-3,6,140
0,8,141
-2,7,142
5,6,143
-4,-2,144
1,-7,145
-5,2,146
4,-8,147
6,5,148
-5,1,149
-1,5,150
7,-2,151
