id,function,E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2,actinorhodin,prodiginine,CDA,DFO,coelichelin,coelibactin,TW95a,tetrahydroxynaphthalene,hopanoids,eicosapentaenoic acid,NRPS,type 1 PKS,type 1 PKS #2,chalcone synth 1,siderophore,FAS,sugar synthase,geosmin,butyro lactone,chalcone synth 2,sesq synth,deferrioxamine,Coelibactin_,sapB,chaplins,rodlins,aerial hyphae,Hierarchical Clustering (order),transient_osmotic_stress_from_lee,sustained_osmotic_lee,delayed_induction_osmotic_lee,transient_repression_osmotic_lee,Binned virido log2,Binned J1074 log2,Binned E14 log 2,Binned SPB74 log 2,Binned AA4 log2,Binned E14 log 2 (1),Binned SPB74 log 2 (1),Binned J1074 log2 (1),Binned AA4 log2 (1),Binned virido log2 (2)
SCO0001,_-_hypothetical_protein,-0.813246081,-2.042091368,-0.663080135,-1.006219477,-0.392304681,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,378,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0002,_-_hypothetical_protein,-0.079151805,-1.155246445,-0.854124268,-1.308855916,-0.02713185,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,865,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0004,_-_hypothetical_protein,-0.344210004,2.262940353,3.635839455,5.268414101,3.495409563,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7528,No,No,No,No,2 < x = 4,4 < x,#NAME?,2 < x = 4,2 < x = 4,x = 2,2 < x,2 < x,2 < x,2 < x
SCO0007,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3822,No,No,No,No,,,,,,,,,,
SCO0008,_-_hypothetical_protein,-0.822158674,0,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4368,No,No,No,No,,,#NAME?,#NAME?,,x = 2,x = 2,,,
SCO0009,_-_hypothetical_protein,-0.822158674,0,-3.099820459,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,92,No,No,No,No,#NAME?,,#NAME?,#NAME?,,x = 2,x = 2,,,x = 2
SCO0010,_-_hypothetical_protein,0.833411241,1.082368108,1.581164153,2.033613439,0.847137267,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6848,No,No,No,No,0 < x = 2,2 < x = 4,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,2 < x,x = 2,x = 2
SCO0011,_-_hypothetical_protein,-0.883848878,-0.810104778,-0.53191292,-0.700124506,-1.873622127,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,561,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0012,_-_hypothetical_protein,0.536571014,1.13789502,0.665285051,0.468919569,-1.714352726,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6360,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO0013,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3823,No,No,No,No,,,,,,,,,,
