E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2
-0.813246081,-2.042091368,-0.663080135,-1.006219477,-0.392304681
-0.079151805,-1.155246445,-0.854124268,-1.308855916,-0.02713185
-0.344210004,2.262940353,3.635839455,5.268414101,3.495409563
,,,,
-0.822158674,0,,,
-0.822158674,0,-3.099820459,,
0.833411241,1.082368108,1.581164153,2.033613439,0.847137267
-0.883848878,-0.810104778,-0.53191292,-0.700124506,-1.873622127
0.536571014,1.13789502,0.665285051,0.468919569,-1.714352726
,,,,
-0.095286004,-0.356420395,3.382697683,3.598994159,1.70357577
-1.226064008,-1.824643729,0.465283319,1.951327912,0.040610758
-0.506951344,-0.169193752,1.036386198,1.117907481,
-0.079748625,-1.471680104,-0.48766008,0.044814156,-0.675049217
,,,,
-0.711848495,1.023410431,0.678747191,1.778454023,0.211516338
0.055753814,1.006814366,0.005338972,0.770310871,-0.180761018
0.177841326,0,-0.119679182,1.117907481,4.328746991
-1.856080029,-0.622741043,1.177204924,1.117907481,0.040610758
,,,,
,,,,
-0.937635891,0.993894497,1.303160282,1.564154781,2.194228356
,,,,
,,,,
-1.833377406,0,-0.197550034,-0.145912035,-2.280639769
-0.215017084,0.482972164,1.499133019,2.287832482,1.783074854
,,,,
,,,,
-1.789016607,0.544789536,0.451423698,-1.293773998,-1.544351743
1.806855589,1.707417899,3.819758749,4.720245184,3.399030206
,,,,
-1.614206425,-1.003497204,2.027071924,1.865551266,0.263003179
-0.231619354,0.043337438,1.189781261,2.140740439,0.625573258
-0.148283577,0.007441932,1.718313058,1.812351218,0.979774831
,,,,
,,,,
-0.307629112,-0.820645438,-0.797123503,-0.557587441,-0.820156084
-0.010022302,-0.824643729,1.444443635,0.762972737,0.040610758
-0.305005764,-0.974980923,-0.611489753,-0.308540965,-0.1319914
-0.560276456,0.011048566,-0.037712492,-0.188337092,0.565426388
-0.612327501,-0.256033599,-1.088356462,-0.379889894,-0.536498084
-0.547992103,-0.491121847,0.12251554,0.795979386,0.040610758
-0.110331195,-1.527518195,-0.773648435,-0.450289565,-1.181297719
-0.22683397,-0.520223925,0.654289626,0.585789282,-0.147149028
,,,,
,,,,
0.202237564,-1.325425299,2.44067545,3.004021627,1.343173528
-0.854392777,0.785484297,0.283868508,1.315991701,0.962713834
-0.871210437,0.043337438,0.787908938,1.534637642,-0.133273866
-0.594984803,-0.207703543,-0.161663995,1.20240263,-0.544351743
0.034840891,-0.373157951,-0.306860137,0.05029191,1.69884023
-1.822158674,-1.824643729,0.669831648,2.225116584,-0.959389242
-0.510456689,1.045335937,2.201985218,1.959384547,0.930935667
-0.454976805,-0.506028084,-0.556950987,-0.723427874,-0.818920272
0.891130134,1.668250622,0.685468598,1.319529589,-0.316823883
,,,,
0.22008543,0.694874226,-0.245231718,-0.472786787,-0.212958507
-2.407121175,0,-1.161663995,-1.293773998,
-0.789016607,1.369161804,5.113472208,6.913832978,4.185646081
-2.160947752,-0.491121847,2.006494575,4.029297642,1.303645163
-0.681610577,-3.146571824,0.85527683,3.07268895,0.526037585
-2.25972156,-1.502715635,2.225710545,4.796784341,1.947501353
,,,,
-0.822158674,-2.40960623,-1.269676847,0.482980823,-1.695677268
0.502002736,7.689368802,4.861910979,4.93717741,2.928813597
-0.071844753,-1.305125774,-1.269676847,-0.041901057,-1.695677268
0.980398899,1.940981949,2.708021584,3.724462218,3.843901672
-0.123353142,-0.421278993,0.047608541,0.105620333,0.807875679
-1.331950397,-0.992558068,-3.691432953,-0.503177063,-1.958824624
-0.205707934,-0.224834174,-0.742197785,-0.873727958,0.010493564
-0.4957674,-0.781104783,-1.439401553,-1.459034226,-1.471273715
-0.290999377,-0.945678655,-0.604971,-0.710151883,0.007416731
-0.54532231,-0.943538945,-0.343037046,-0.252802265,-0.48952678
-1.817377224,0,0.369850002,-0.33115808,-2.766744165
0.142907036,0.46149755,-0.788728275,-0.768432174,-0.715022417
0.10913412,-0.330545125,-2.511046425,-1.214408042,-0.429066758
-0.950213814,0.166038347,-0.283816209,0.40761315,-0.704318812
-0.81304416,0.536267771,2.001476372,1.069644487,0.323643236
