time,Area(microns squared),IMV(intensity Mean Value),Rounded IMV's
1,0,0,0
2,811533.103,1347.396,1347
3,830919.491,1410.836,1411
4,839191.705,1421.249,1421
5,854638.705,1411.311,1411
6,965064.005,1400.073,1400
7,1076014.965,1363.423,1363
8,1122770.959,1322.978,1323
9,1212335.893,1323.793,1324
10,1252396.65,1305.903,1306
11,1260180.093,1284.002,1284
12,1405916.774,1292.055,1292
13,1363983.933,1328.734,1329
14,1533476.717,1312.331,1312
15,1591455.994,1286.554,1287
16,1634984.257,1246.128,1246
17,1639429.304,1232.678,1233
18,1768197.34,1228.656,1229
19,1896873.156,1214.049,1214
20,1900377.55,1237.952,1238
21,2130846.79,1181.191,1181
22,2078575.986,1213.954,1214
23,2184002.914,1208.167,1208
24,2152278.926,1299.698,1300
25,2197393.388,1241.489,1241
26,2661098.495,1169.943,1170
27,2676397.942,1145.589,1146
28,2872551.786,1114.956,1115
29,2905585.311,1096.042,1096
30,3037645.634,1092.885,1093
31,3297468.785,1079.1,1079
32,3363323.726,1080.716,1081
33,3344593.662,1064.673,1065
34,3527467,1033.473,1033
35,3543449.579,1026.79,1027
36,3696757.596,1031.855,1032
37,3748475.074,1024.386,1024
38,3788517.387,1016.465,1016
