Time,Area1,Area2,Area3,Area4,Area5,IMV1,IMV2,IMV3,IMV4,IMV5,,Average IMV,Concentration_micromolar,,,Cells/area 1,Cells/Area 2,Cells/Area 3,Cells/ Area 4,Cells/Area 5,SUM,,WA1,WA2,WA3,WA4,WA5
3600,94.388,129.803,57.95,112.567,115.202,906.363,931.936,914.735,921.409,909.721,,917.9074129,1.00E+00,,,189,260,115.9,225.134,230.404,1020.438,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
5400,94.388,129.803,57.95,112.567,115.202,914.374,943.984,925.127,930.132,923.408,,928.6561063,1.01E+00,,WA,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
7200,94.388,129.803,57.95,112.567,115.202,933.13,959.438,937.148,947.448,945.671,,946.2799722,1.03E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
9000,94.388,129.803,57.95,112.567,115.202,945.584,966.429,941.326,951.599,958.025,,954.5476362,1.04E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
10800,94.388,129.803,57.95,112.567,115.202,920.863,937.968,912,921.466,937.148,,928.0245946,1.01E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
12600,94.388,129.803,57.95,112.567,115.202,921.294,928.61,903.495,912.858,941.426,,923.8208745,1.01E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
14400,94.388,129.803,57.95,112.567,115.202,925.409,918.953,890.986,906.597,944.262,,919.9607514,1.00E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
16200,94.388,129.803,57.95,112.567,115.202,939.606,911.747,894.911,904.645,956.863,,923.6145155,1.01E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
18000,94.388,129.803,57.95,112.567,115.202,961.68,918.818,901.935,917.746,982.63,,939.0106768,1.02E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
19800,94.388,129.803,57.95,112.567,115.202,971.946,912.445,901.797,921.273,994.109,,942.6426024,1.03E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
21600,94.388,129.803,57.95,112.567,115.202,984.352,904.616,905.797,925.801,1003.597,,946.5411968,1.03E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
23400,94.388,129.803,57.95,112.567,115.202,997.947,906.162,917.041,937.951,1016.24,,956.2654236,1.04E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
25200,94.388,129.803,57.95,112.567,115.202,995.048,891.902,913.667,937.34,1014.069,,951.0869399,1.04E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
27000,94.388,129.803,57.95,112.567,115.202,989.447,878.136,919.938,935.127,1004.789,,944.6707629,1.03E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
28800,94.388,129.803,57.95,112.567,115.202,1004.939,888.924,943.33,957.192,1024.514,,962.2674238,1.05E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
30600,94.388,129.803,57.95,112.567,115.202,1054.803,931.119,995.003,1008.561,1074.268,,1010.690087,1.10E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
32400,94.388,129.803,57.95,112.567,115.202,1076.06,949.375,1012.447,1031.861,1093.626,,1030.771342,1.12E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
34200,94.388,129.803,57.95,112.567,115.202,1093.352,971.29,1032.931,1056.633,1112.505,,1051.612393,1.15E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
36000,94.388,129.803,57.95,112.567,115.202,1096.141,979.362,1039.316,1060.189,1115.645,,1056.404362,1.15E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
37800,94.388,129.803,57.95,112.567,115.202,1109.806,998.252,1055.388,1074.558,1126.708,,1071.241853,1.17E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
39600,94.388,129.803,57.95,112.567,115.202,1110.828,1008.248,1058.127,1076.465,1125.282,,1074.387897,1.17E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
41400,94.388,129.803,57.95,112.567,115.202,1120.535,1021.521,1071.076,1090.463,1134.536,,1086.216128,1.18E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
43200,94.388,129.803,57.95,112.567,115.202,1125.149,1036.457,1080.306,1100.408,1140.623,,1095.493114,1.19E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
45000,94.388,129.803,57.95,112.567,115.202,1121.895,1039.229,1081.175,1102.259,1137.287,,1095.350555,1.19E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
46800,94.388,129.803,57.95,112.567,115.202,1138.223,1058.123,1095.684,1117.947,1150.061,,1111.182097,1.21E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
48600,94.388,129.803,57.95,112.567,115.202,1176.22,1100.948,1136.093,1161.826,1189.896,,1152.395904,1.26E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
50400,94.388,129.803,57.95,112.567,115.202,1169.526,1101.729,1136.818,1156.872,1184.973,,1149.232879,1.25E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
52200,94.388,129.803,57.95,112.567,115.202,1168.193,1106.053,1139.175,1156.491,1184.939,,1150.263681,1.25E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
54000,94.388,129.803,57.95,112.567,115.202,1170.225,1112.9,1141.608,1162.191,1186.571,,1154.286988,1.26E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
55800,94.388,129.803,57.95,112.567,115.202,1208.048,1154.362,1184.904,1202.431,1223.089,,1193.897389,1.30E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
57600,94.388,129.803,57.95,112.567,115.202,1243.319,1189.677,1218.237,1233.713,1252.224,,1226.693969,1.34E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
59400,94.388,129.803,57.95,112.567,115.202,1237.031,1186.062,1211.608,1227.983,1249.642,,1222.008183,1.33E+00,,,,,,,,,,0.185214584,0.25479255,0.113578679,0.220624869,0.225789318
