ID,SPB74 log 2,virido log2,J1074 log2,AA4 log2
1,-2.042091368,-0.663080135,-1.006219477,-0.392304681
2,-1.155246445,-0.854124268,-1.308855916,-0.02713185
3,null,null,null,null
4,2.262940353,3.635839455,5.268414101,3.495409563
5,null,null,null,null
6,null,null,null,null
7,null,null,null,null
8,0,null,null,null
9,0,-3.099820459,null,null
10,1.082368108,1.581164153,2.033613439,0.847137267
11,-0.810104778,-0.53191292,-0.700124506,-1.873622127
12,1.13789502,0.665285051,0.468919569,-1.714352726
13,null,null,null,null
14,-0.356420395,3.382697683,3.598994159,1.70357577
15,null,null,null,null
16,-1.824643729,0.465283319,1.951327912,0.040610758
17,-0.169193752,1.036386198,1.117907481,null
18,-1.471680104,-0.48766008,0.044814156,-0.675049217
19,null,null,null,null
20,null,null,null,null
21,1.023410431,0.678747191,1.778454023,0.211516338
22,null,null,null,null
23,null,null,null,null
24,null,null,null,null
25,null,null,null,null
26,1.006814366,0.005338972,0.770310871,-0.180761018
27,0,-0.119679182,1.117907481,4.328746991
28,-0.622741043,1.177204924,1.117907481,0.040610758
29,null,null,null,null
30,null,null,null,null
31,0.993894497,1.303160282,1.564154781,2.194228356
32,null,null,null,null
33,null,null,null,null
34,null,null,null,null
35,0,-0.197550034,-0.145912035,-2.280639769
36,0.482972164,1.499133019,2.287832482,1.783074854
37,null,null,null,null
38,null,null,null,null
39,null,null,null,null
40,null,null,null,null
41,null,null,null,null
42,0.544789536,0.451423698,-1.293773998,-1.544351743
43,1.707417899,3.819758749,4.720245184,3.399030206
44,null,null,null,null
45,null,null,null,null
46,null,null,null,null
47,null,null,null,null
48,-1.003497204,2.027071924,1.865551266,0.263003179
49,0.043337438,1.189781261,2.140740439,0.625573258
50,0.007441932,1.718313058,1.812351218,0.979774831
51,null,null,null,null
52,null,null,null,null
53,null,null,null,null
54,null,null,null,null
55,null,null,null,null
56,null,null,null,null
57,null,null,null,null
58,-0.820645438,-0.797123503,-0.557587441,-0.820156084
59,null,null,null,null
60,-0.824643729,1.444443635,0.762972737,0.040610758
61,-0.974980923,-0.611489753,-0.308540965,-0.1319914
62,null,null,null,null
63,null,null,null,null
64,0.011048566,-0.037712492,-0.188337092,0.565426388
65,null,null,null,null
66,null,null,null,null
67,null,null,null,null
68,null,null,null,null
69,-0.256033599,-1.088356462,-0.379889894,-0.536498084
70,-0.491121847,0.12251554,0.795979386,0.040610758
71,-1.527518195,-0.773648435,-0.450289565,-1.181297719
72,-0.520223925,0.654289626,0.585789282,-0.147149028
73,null,null,null,null
74,null,null,null,null
75,-1.325425299,2.44067545,3.004021627,1.343173528
76,null,null,null,null
77,null,null,null,null
78,null,null,null,null
79,null,null,null,null
80,0.785484297,0.283868508,1.315991701,0.962713834
81,null,null,null,null
82,null,null,null,null
83,null,null,null,null
84,0.043337438,0.787908938,1.534637642,-0.133273866
85,-0.207703543,-0.161663995,1.20240263,-0.544351743
86,null,null,null,null
87,-0.373157951,-0.306860137,0.05029191,1.69884023
88,null,null,null,null
89,null,null,null,null
90,null,null,null,null
91,null,null,null,null
92,null,null,null,null
93,null,null,null,null
94,null,null,null,null
95,-1.824643729,0.669831648,2.225116584,-0.959389242
96,null,null,null,null
97,1.045335937,2.201985218,1.959384547,0.930935667
98,null,null,null,null
99,null,null,null,null
100,null,null,null,null
101,-0.506028084,-0.556950987,-0.723427874,-0.818920272
102,1.668250622,0.685468598,1.319529589,-0.316823883
103,null,null,null,null
104,null,null,null,null
105,null,null,null,null
106,null,null,null,null
107,null,null,null,null
108,null,null,null,null
109,0.694874226,-0.245231718,-0.472786787,-0.212958507
110,null,null,null,null
111,null,null,null,null
112,0,-1.161663995,-1.293773998,null
113,null,null,null,null
114,null,null,null,null
115,null,null,null,null
116,null,null,null,null
117,null,null,null,null
118,null,null,null,null
119,1.369161804,5.113472208,6.913832978,4.185646081
120,-0.491121847,2.006494575,4.029297642,1.303645163
121,null,null,null,null
122,null,null,null,null
123,-3.146571824,0.85527683,3.07268895,0.526037585
124,-1.502715635,2.225710545,4.796784341,1.947501353
125,null,null,null,null
126,null,null,null,null
127,null,null,null,null
128,null,null,null,null
129,-2.40960623,-1.269676847,0.482980823,-1.695677268
130,null,null,null,null
131,7.689368802,4.861910979,4.93717741,2.928813597
132,null,null,null,null
133,-1.305125774,-1.269676847,-0.041901057,-1.695677268
134,1.940981949,2.708021584,3.724462218,3.843901672
135,-0.421278993,0.047608541,0.105620333,0.807875679
136,null,null,null,null
137,null,null,null,null
138,null,null,null,null
139,-0.992558068,-3.691432953,-0.503177063,-1.958824624
140,null,null,null,null
141,null,null,null,null
142,-0.224834174,-0.742197785,-0.873727958,0.010493564
143,-0.781104783,-1.439401553,-1.459034226,-1.471273715
144,-0.945678655,-0.604971,-0.710151883,0.007416731
145,-0.943538945,-0.343037046,-0.252802265,-0.48952678
146,null,null,null,null
147,null,null,null,null
148,null,null,null,null
149,0,0.369850002,-0.33115808,-2.766744165
150,0.46149755,-0.788728275,-0.768432174,-0.715022417
151,-0.330545125,-2.511046425,-1.214408042,-0.429066758
152,null,null,null,null
153,0.166038347,-0.283816209,0.40761315,-0.704318812
154,0.536267771,2.001476372,1.069644487,0.323643236
155,null,null,null,null
156,-3.631998652,-1.384056416,-1.689447441,-2.766744165
157,1.692712969,3.101874118,1.574587446,2.715127283
158,null,null,null,null
159,null,null,null,null
160,null,null,null,null
161,-2.042091368,3.233085759,2.592300978,1.966610176
162,3.362715126,3.445244278,2.607367046,1.774098988
163,2.340862606,2.936076672,2.14703626,1.661442182
164,null,null,null,null
165,2.575489092,2.676783017,2.148916217,1.294701661
166,null,null,null,null
167,2.610820618,2.979939897,1.943610532,1.287756449
168,null,null,null,null
169,1.896981035,1.566479138,0.783259125,0.80826527
170,3.562424097,3.275074472,2.261210653,1.775520974
171,null,null,null,null
172,2.560057842,2.422343046,1.819892885,1.24178384
173,2.565051199,2.458330655,1.720059478,1.339013492
174,null,null,null,null
175,1.888265519,2.696380258,1.662276781,1.381182184
176,0.964686841,2.757950832,1.671852799,1.484780487
177,3.569158305,3.700217932,2.780686756,2.036875341
178,2.218590389,2.799013642,2.019885932,1.225593702
179,null,null,null,null
180,3.789375256,2.989767709,2.390429787,2.074728286
181,3.18809998,3.401453778,2.592450872,2.083889078
182,-0.824643729,2.177204924,null,0.040610758
183,null,null,null,null
184,0.16915096,0.108404467,0.623980376,-0.663111171
185,null,null,null,null
186,null,null,null,null
187,null,null,null,null
188,null,null,null,null
189,null,null,null,null
190,null,null,null,null
191,null,null,null,null
192,null,null,null,null
193,null,null,null,null
194,null,null,null,null
195,null,null,null,null
196,0.909369465,0.885790371,1.978878979,1.146101863
197,2.761402749,1.949007261,1.335929803,1.525491698
198,2.831836626,1.937297157,1.305858332,1.406036859
199,null,null,null,null
200,3.418632116,2.327407878,1.742247037,1.696152615
201,3.637672025,3.275340185,2.595075554,1.90092895
202,1.509410311,1.100245529,0.012265098,-1.659307782
203,null,null,null,null
204,null,null,null,null
205,null,null,null,null
206,null,null,null,null
207,3.563043916,2.611881574,1.703006051,1.478601041
208,null,null,null,null
209,3.910430341,3.50109899,2.991605894,2.349687823
210,3.039319701,2.651875399,1.953109504,1.784978024
211,1.947858415,1.602991934,0.990700371,0.833518293
212,2.33883815,1.478609188,0.694480713,0.891546719
213,null,null,null,null
214,1.342343677,1.882727045,1.470920899,1.032518288
215,3.333229467,2.082834728,1.232634383,1.255934823
216,null,null,null,null
217,null,null,null,null
218,null,null,null,null
219,null,null,null,null
220,0.718343277,0.862150575,-0.074694664,0.13222933
221,null,null,null,null
222,null,null,null,null
223,-0.590797961,-1.074437258,-0.953924648,-0.52965831
224,1.540275707,3.637925389,3.524682034,4.450377386
225,-0.102813333,-0.147919671,-0.400895124,-0.382755588
226,-0.655656603,-0.684413321,-1.297372069,-0.683764008
227,-2.146571824,-0.652096447,-0.681774012,-0.281317337
228,0,-0.119679182,-0.079063984,null
229,null,null,null,null
230,null,null,null,null
231,1.143134416,0.194541744,0.007169891,0.178538886
232,-1.824643729,1.551824746,0.762972737,0.040610758
233,null,null,null,null
234,null,null,null,null
235,null,null,null,null
236,null,null,null,null
237,null,null,null,null
238,0.425201304,1.110441098,1.775995565,0.040610758
239,-0.183618561,0.462239226,0.621756704,0.605885465
240,null,null,null,null
241,null,null,null,null
242,0.139741656,0.81135927,1.045260535,0.277427397
243,0.277753052,0.929926775,1.141033211,0.657033581
244,0.165116132,-0.438068738,-0.832175794,-0.578178797
245,-0.539082966,-0.079215534,-0.230546513,0.569559768
246,-0.750401046,-0.613645576,-0.766473831,0.220390936
247,0.257311461,-0.507816945,-1.223723004,-0.452258708
248,-2.34991785,-0.803903237,-0.962296359,0.01494813
249,0.173290689,-1.400204809,-1.157100343,-1.22463204
250,null,null,null,null
251,-1.824643729,-1.408629879,-0.603686148,-3.418204903
252,null,null,null,null
253,null,null,null,null
254,0.38293022,1.770831925,2.084549046,0.635106032
255,null,null,null,null
256,null,null,null,null
257,-2.335989084,-0.249466082,-0.706025328,-1.611397909
258,-2.439668449,-0.636181231,-1.255834712,-2.541389876
259,null,null,null,null
260,-0.162837777,-0.271387085,0.057773343,-0.820796424
261,null,null,null,null
262,null,null,null,null
263,null,null,null,null
264,null,null,null,null
265,null,null,null,null
266,null,null,null,null
267,null,null,null,null
268,2.504566125,4.522579465,3.292393344,2.931739391
269,0.525710281,0.701750347,0.052388458,0.320788942
270,0.849797718,1.656456734,0.898984851,1.013737408
271,null,null,null,null
272,null,null,null,null
273,null,null,null,null
274,null,null,null,null
275,null,null,null,null
276,null,null,null,null
277,-0.38116802,-0.526121873,-0.460518684,-0.650653186
278,null,null,null,null
279,null,null,null,null
280,0.180301054,-0.291996927,-0.934150979,0.700147778
281,0.163439318,-0.063288763,-0.563393636,-3.280639769
282,null,null,null,null
283,0.525974759,1.346592659,1.266277205,0.156652593
284,null,null,null,null
285,null,null,null,null
286,null,null,null,null
287,null,null,null,null
288,0.572350783,-0.848238755,-1.119772056,-0.64066019
289,null,null,null,null
290,null,null,null,null
291,null,null,null,null
292,null,null,null,null
293,null,null,null,null
294,null,null,null,null
295,null,null,null,null
296,null,null,null,null
297,1.003053657,1.819980818,1.302704282,0.194766512
298,null,null,null,null
299,null,null,null,null
300,null,null,null,null
301,null,null,null,null
302,null,null,null,null
303,null,null,null,null
304,0.313047163,-0.0274252,-0.483456872,-1.074345282
305,0.512317356,0.854964752,1.157197769,0.37154369
306,null,null,null,null
307,null,null,null,null
308,0.233984044,-0.124625981,0.444558255,-0.612143486
309,null,null,null,null
310,null,null,null,null
311,null,null,null,null
312,null,null,null,null
313,null,null,null,null
314,-0.670629974,2.757950832,1.925262403,2.736673378
315,null,null,null,null
316,null,null,null,null
317,null,null,null,null
318,null,null,null,null
319,1.279836727,3.488992415,4.421305402,5.261926559
320,0.694874226,4.105107698,3.722631453,2.918414802
321,null,null,null,null
322,null,null,null,null
