#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_003888.3,446,1123,+,1095448,-,SCO0001,NP_624362.1,225,-,hypothetical protein SCO0001
chr,NC_003888.3,1252,3813,+,1095447,-,SCO0002,NP_624363.1,853,-,"hypothetical protein SCO0002, partial"
chr,NC_003888.3,3869,6220,+,1095446,-,SCO0003,NP_624364.1,783,-,DNA-binding protein
chr,NC_003888.3,6226,7173,+,1095445,-,SCO0004,NP_631871.1,315,-,hypothetical protein SCO0004
chr,NC_003888.3,7187,9307,+,1095444,-,SCO0005,NP_733487.1,706,-,transposase
chr,NC_003888.3,9304,10410,+,1095443,-,SCO0006,NP_631869.1,368,-,"ATP/GTP-binding protein, partial"
chr,NC_003888.3,10554,11000,-,1095442,-,SCO0007,NP_624368.1,148,-,hypothetical protein SCO0007
chr,NC_003888.3,11010,11360,-,1095440,-,SCO0008,NP_624369.1,116,-,hypothetical protein SCO0008
chr,NC_003888.3,11617,11952,-,1095441,-,SCO0009,NP_624370.1,111,-,hypothetical protein SCO0009
chr,NC_003888.3,12366,13457,+,1095439,-,SCO0010,NP_624371.1,363,-,hypothetical protein SCO0010
chr,NC_003888.3,13214,14023,-,1095438,-,SCO0011,NP_624372.1,269,-,hypothetical protein SCO0011
chr,NC_003888.3,14044,14454,-,1095452,-,SCO0012,NP_624373.1,136,-,hypothetical protein SCO0012
chr,NC_003888.3,14739,15029,-,1095453,-,SCO0013,NP_624374.1,96,-,hypothetical protein SCO0013
chr,NC_003888.3,15317,15595,-,1095449,-,SCO0014,NP_624375.1,92,-,hypothetical protein SCO0014
chr,NC_003888.3,16070,17302,-,1095436,-,SCO0015,NP_624376.1,410,-,Na+/H+ antiporter
chr,NC_003888.3,17715,17918,+,1095450,-,SCO0016,NP_624377.1,67,-,hypothetical protein SCO0016
chr,NC_003888.3,17919,18263,+,1095451,-,SCO0017,NP_624378.1,114,-,hypothetical protein SCO0017
chr,NC_003888.3,18485,19351,-,1095454,-,SCO0018,NP_624379.1,288,-,hypothetical protein SCO0018
chr,NC_003888.3,19517,19771,-,1095455,-,SCO0019,NP_624380.1,84,-,hypothetical protein SCO0019
chr,NC_003888.3,19974,21620,+,1095437,-,SCO0020,NP_733488.1,548,-,"transposase, partial"
chr,NC_003888.3,21617,22210,+,1095456,-,SCO0021,NP_624381.1,197,-,hypothetical protein SCO0021
chr,NC_003888.3,22156,22761,-,1095457,-,SCO0022,NP_624382.1,140,-,"IS element ATP-binding protein, partial"
chr,NC_003888.3,22843,23061,+,1095458,-,SCO0025,NP_624383.1,72,-,"IS element ATP-binding protein, partial"
chr,NC_003888.3,23316,23831,+,1095459,-,SCO0026,NP_624384.1,171,-,hypothetical protein SCO0026
chr,NC_003888.3,23977,24345,-,1095460,-,SCO0027,NP_624385.1,122,-,hypothetical protein SCO0027
chr,NC_003888.3,24378,24521,-,1095461,-,SCO0028,NP_624386.1,47,-,hypothetical protein SCO0028
chr,NC_003888.3,24644,24943,+,1095462,-,SCO0029,NP_624387.1,99,-,hypothetical protein SCO0029
chr,NC_003888.3,25251,25871,+,1095463,-,SCO0030,NP_624388.1,206,-,hypothetical protein SCO0030
chr,NC_003888.3,25843,26385,-,1095464,-,SCO0031,NP_624389.1,180,-,hypothetical protein SCO0031
chr,NC_003888.3,26527,28773,-,1095466,-,SCO0033,NP_624391.1,748,-,neuraminidase
chr,NC_003888.3,29040,29519,+,1095467,-,SCO0034,NP_624392.1,159,-,hypothetical protein SCO0034
chr,NC_003888.3,29605,30054,-,1095468,-,SCO0035,NP_624393.1,149,-,hypothetical protein SCO0035
chr,NC_003888.3,30116,30355,-,1095469,-,SCO0036,NP_624394.1,79,-,hypothetical protein SCO0036
chr,NC_003888.3,30379,31131,-,1095470,-,SCO0037,NP_624395.1,250,-,sigma factor
chr,NC_003888.3,31146,31274,-,1095471,-,SCO0038,NP_624396.1,42,-,"sigma factor, partial"
chr,NC_003888.3,31520,32137,+,1095472,-,SCO0039,NP_624397.1,205,-,hypothetical protein SCO0039
chr,NC_003888.3,32134,33357,+,1095473,-,SCO0040,NP_624398.1,407,-,glycosyl transferase
chr,NC_003888.3,33360,33845,+,1095474,-,SCO0041,NP_624399.1,161,-,hypothetical protein SCO0041
chr,NC_003888.3,33842,34777,+,1095475,-,SCO0042,NP_624400.1,311,-,hypothetical protein SCO0042
chr,NC_003888.3,35179,35907,-,1095476,-,SCO0043,NP_624401.1,242,-,hypothetical protein SCO0043
chr,NC_003888.3,36006,36674,-,1095477,-,SCO0044,NP_624402.1,222,-,oxidoreductase
chr,NC_003888.3,36689,36817,-,1095478,-,SCO0045,NP_624403.1,42,-,hypothetical protein SCO0045
chr,NC_003888.3,36816,37478,+,1095479,-,SCO0046,NP_624404.1,220,-,hydrolase
chr,NC_003888.3,37614,38768,-,1095480,-,SCO0047,NP_624405.1,384,-,transcriptional regulator
chr,NC_003888.3,39107,39490,-,1095481,-,SCO0048,NP_624406.1,127,-,hypothetical protein SCO0048
chr,NC_003888.3,39489,39812,+,1095482,-,SCO0049,NP_624407.1,107,-,hypothetical protein SCO0049
chr,NC_003888.3,39877,40212,+,1095483,-,SCO0050,NP_624408.1,111,-,hypothetical protein SCO0050
chr,NC_003888.3,42171,43682,-,1095486,-,SCO0055,NP_624409.1,503,-,membrane-associated oxidoreductase
chr,NC_003888.3,43768,43857,+,1095487,-,SCO0056,NP_624410.1,29,-,hypothetical protein SCO0056
chr,NC_003888.3,43950,44090,+,1095488,-,SCO0057,NP_624411.1,46,-,hypothetical protein SCO0057
chr,NC_003888.3,44253,44975,+,1095489,-,SCO0058,NP_624412.1,240,-,hypothetical protein SCO0058
chr,NC_003888.3,45267,46073,+,1095490,-,SCO0059,NP_624413.1,268,-,zinc-binding oxidoreductase
chr,NC_003888.3,46064,46201,+,1095491,-,SCO0060,NP_624414.1,45,-,hypothetical protein SCO0060
