ID,Protein name
1,hypothetical protein SCO0001
2,"hypothetical protein SCO0002, partial"
3,DNA-binding protein
4,hypothetical protein SCO0004
5,transposase
6,"ATP/GTP-binding protein, partial"
7,hypothetical protein SCO0007
8,hypothetical protein SCO0008
9,hypothetical protein SCO0009
10,hypothetical protein SCO0010
11,hypothetical protein SCO0011
12,hypothetical protein SCO0012
13,hypothetical protein SCO0013
14,hypothetical protein SCO0014
15,Na+/H+ antiporter
16,hypothetical protein SCO0016
17,hypothetical protein SCO0017
18,hypothetical protein SCO0018
19,hypothetical protein SCO0019
20,"transposase, partial"
21,hypothetical protein SCO0021
22,"IS element ATP-binding protein, partial"
23,
24,
25,"IS element ATP-binding protein, partial"
26,hypothetical protein SCO0026
27,hypothetical protein SCO0027
28,hypothetical protein SCO0028
29,hypothetical protein SCO0029
30,hypothetical protein SCO0030
31,hypothetical protein SCO0031
32,
33,neuraminidase
34,hypothetical protein SCO0034
35,hypothetical protein SCO0035
36,hypothetical protein SCO0036
37,sigma factor
38,"sigma factor, partial"
39,hypothetical protein SCO0039
40,glycosyl transferase
41,hypothetical protein SCO0041
42,hypothetical protein SCO0042
43,hypothetical protein SCO0043
44,oxidoreductase
45,hypothetical protein SCO0045
46,hydrolase
47,transcriptional regulator
48,hypothetical protein SCO0048
49,hypothetical protein SCO0049
50,hypothetical protein SCO0050
51,
52,
53,
54,
55,membrane-associated oxidoreductase
56,hypothetical protein SCO0056
57,hypothetical protein SCO0057
58,hypothetical protein SCO0058
59,zinc-binding oxidoreductase
60,hypothetical protein SCO0060
61,hypothetical protein SCO0061
62,LacI family transcriptional regulator
63,glucokinase
64,hypothetical protein SCO0064
65,extracellular binding protein
66,integral membrane permease
67,integral membrane permease
68,hydrolase
69,hypothetical protein SCO0069
70,"hypothetical protein SCO0070, partial"
71,hypothetical protein SCO0071
72,"hypothetical protein SCO0072, partial"
73,hypothetical protein SCO0073
74,hypothetical protein SCO0074
75,hypothetical protein SCO0075
76,
77,
78,
79,integral membrane transport protein
80,hypothetical protein SCO0080
81,
82,
83,transposase
84,hypothetical protein SCO0084
85,hypothetical protein SCO0085
86,ribosylglycohydrolase
87,hypothetical protein SCO0087
88,beta-lactamase
89,transcriptional regulator
90,"transposase, partial"
91,IS1652 transposase
92,
93,
94,
95,hypothetical protein SCO0095
96,noncomposite transposon transposase
97,hypothetical protein SCO0097
98,transposase
99,
100,
101,hypothetical protein SCO0101
102,hypothetical protein SCO0102
103,flavohemoprotein
104,hydrolase
105,"endo-1,4-beta-xylanase"
106,insertion element transposase
107,aminoglycoside nucleotidyltransferase
108,hypothetical protein SCO0108
109,hypothetical protein SCO0109
110,DNA-binding protein
111,oxidoreductase
112,hypothetical protein SCO0112
113,
114,
115,
116,TetR family transcriptional regulator
117,short chain dehydrogenase
118,xylosidase/arabinosidase
119,hypothetical protein SCO0119
120,"hypothetical protein SCO0120, partial"
121,ABC transporter ATP-binding protein
122,flavin-containing monooxygenase
123,hypothetical protein SCO0123
124,hypothetical protein SCO0124
125,oxidoreductase
